start...
Finetuning mode
Load outputs/2023-08-31-14-55-19/trained_model/best_weight.pt...
Epoch: 121 / 1000, Score: -500,  block: 17,  Reward: -5.4459 Cleared lines: 0, col: 0/0/0/0 
Epoch: 122 / 1000, Score: -500,  block: 24,  Reward: -6.3127 Cleared lines: 0, col: 0/0/0/0 
Epoch: 123 / 1000, Score: -500,  block: 28,  Reward: -10.5932 Cleared lines: 0, col: 0/0/0/0 
Epoch: 124 / 1000, Score: -400,  block: 38,  Reward: -9.0096 Cleared lines: 1, col: 0/0/0/0 
Epoch: 125 / 1000, Score: -400,  block: 28,  Reward: -7.8700 Cleared lines: 1, col: 0/0/0/0 
Epoch: 126 / 1000, Score: -500,  block: 25,  Reward: -8.1690 Cleared lines: 0, col: 0/0/0/0 
Epoch: 127 / 1000, Score: -400,  block: 32,  Reward: -9.4187 Cleared lines: 1, col: 0/0/0/0 
Epoch: 128 / 1000, Score: -500,  block: 28,  Reward: -8.5309 Cleared lines: 0, col: 0/0/0/0 
Epoch: 129 / 1000, Score: -500,  block: 26,  Reward: -5.8390 Cleared lines: 0, col: 0/0/0/0 
Epoch: 130 / 1000, Score: -500,  block: 26,  Reward: -6.9243 Cleared lines: 0, col: 0/0/0/0 
Epoch: 131 / 1000, Score: -500,  block: 29,  Reward: -9.5429 Cleared lines: 0, col: 0/0/0/0 
Epoch: 132 / 1000, Score: -500,  block: 24,  Reward: -5.6339 Cleared lines: 0, col: 0/0/0/0 
Epoch: 133 / 1000, Score: -500,  block: 33,  Reward: -9.8086 Cleared lines: 0, col: 0/0/0/0 
Epoch: 134 / 1000, Score: -500,  block: 34,  Reward: -11.2700 Cleared lines: 0, col: 0/0/0/0 
Epoch: 135 / 1000, Score: -500,  block: 27,  Reward: -8.6516 Cleared lines: 0, col: 0/0/0/0 
Epoch: 136 / 1000, Score: -500,  block: 23,  Reward: -7.0170 Cleared lines: 0, col: 0/0/0/0 
Epoch: 137 / 1000, Score: -500,  block: 27,  Reward: -7.9171 Cleared lines: 0, col: 0/0/0/0 
Epoch: 138 / 1000, Score: -500,  block: 32,  Reward: -9.0626 Cleared lines: 0, col: 0/0/0/0 
Epoch: 139 / 1000, Score: -500,  block: 29,  Reward: -6.5407 Cleared lines: 0, col: 0/0/0/0 
Epoch: 140 / 1000, Score: -500,  block: 22,  Reward: -4.9886 Cleared lines: 0, col: 0/0/0/0 
Epoch: 141 / 1000, Score: -500,  block: 33,  Reward: -8.9426 Cleared lines: 0, col: 0/0/0/0 
Epoch: 142 / 1000, Score: -500,  block: 23,  Reward: -6.6317 Cleared lines: 0, col: 0/0/0/0 
Epoch: 143 / 1000, Score: -500,  block: 21,  Reward: -6.3054 Cleared lines: 0, col: 0/0/0/0 
Epoch: 144 / 1000, Score: -500,  block: 29,  Reward: -8.0022 Cleared lines: 0, col: 0/0/0/0 
Epoch: 145 / 1000, Score: -500,  block: 30,  Reward: -7.4284 Cleared lines: 0, col: 0/0/0/0 
Epoch: 146 / 1000, Score: -500,  block: 30,  Reward: -11.2368 Cleared lines: 0, col: 0/0/0/0 
Epoch: 147 / 1000, Score: -500,  block: 31,  Reward: -7.3522 Cleared lines: 0, col: 0/0/0/0 
Epoch: 148 / 1000, Score: -400,  block: 32,  Reward: -9.2543 Cleared lines: 1, col: 0/0/0/0 
Epoch: 149 / 1000, Score: -500,  block: 33,  Reward: -8.4884 Cleared lines: 0, col: 0/0/0/0 
Epoch: 150 / 1000, Score: -500,  block: 28,  Reward: -7.5839 Cleared lines: 0, col: 0/0/0/0 
Epoch: 151 / 1000, Score: -500,  block: 19,  Reward: -8.6577 Cleared lines: 0, col: 0/0/0/0 
Epoch: 152 / 1000, Score: -500,  block: 27,  Reward: -8.3813 Cleared lines: 0, col: 0/0/0/0 
Epoch: 153 / 1000, Score: -500,  block: 25,  Reward: -6.1052 Cleared lines: 0, col: 0/0/0/0 
Epoch: 154 / 1000, Score: -500,  block: 29,  Reward: -10.3408 Cleared lines: 0, col: 0/0/0/0 
Epoch: 155 / 1000, Score: -500,  block: 32,  Reward: -7.4349 Cleared lines: 0, col: 0/0/0/0 
Epoch: 156 / 1000, Score: -400,  block: 31,  Reward: -9.0841 Cleared lines: 1, col: 0/0/0/0 
Epoch: 157 / 1000, Score: -500,  block: 24,  Reward: -5.2924 Cleared lines: 0, col: 0/0/0/0 
Epoch: 158 / 1000, Score: -500,  block: 32,  Reward: -9.4938 Cleared lines: 0, col: 0/0/0/0 
Epoch: 159 / 1000, Score: -500,  block: 22,  Reward: -6.5700 Cleared lines: 0, col: 0/0/0/0 
Epoch: 160 / 1000, Score: -500,  block: 25,  Reward: -7.1844 Cleared lines: 0, col: 0/0/0/0 
Epoch: 161 / 1000, Score: -500,  block: 33,  Reward: -10.1554 Cleared lines: 0, col: 0/0/0/0 
Epoch: 162 / 1000, Score: -500,  block: 31,  Reward: -7.9945 Cleared lines: 0, col: 0/0/0/0 
Epoch: 163 / 1000, Score: -500,  block: 29,  Reward: -8.7464 Cleared lines: 0, col: 0/0/0/0 
Epoch: 164 / 1000, Score: -500,  block: 30,  Reward: -9.8364 Cleared lines: 0, col: 0/0/0/0 
Epoch: 165 / 1000, Score: -500,  block: 25,  Reward: -6.4618 Cleared lines: 0, col: 0/0/0/0 
Epoch: 166 / 1000, Score: -500,  block: 20,  Reward: -5.2570 Cleared lines: 0, col: 0/0/0/0 
Epoch: 167 / 1000, Score: -500,  block: 31,  Reward: -8.8651 Cleared lines: 0, col: 0/0/0/0 
Epoch: 168 / 1000, Score: -500,  block: 24,  Reward: -7.6048 Cleared lines: 0, col: 0/0/0/0 
Epoch: 169 / 1000, Score: -500,  block: 26,  Reward: -7.1218 Cleared lines: 0, col: 0/0/0/0 
Epoch: 170 / 1000, Score: -500,  block: 24,  Reward: -5.7891 Cleared lines: 0, col: 0/0/0/0 
Epoch: 171 / 1000, Score: -500,  block: 32,  Reward: -13.9770 Cleared lines: 0, col: 0/0/0/0 
Epoch: 172 / 1000, Score: -500,  block: 19,  Reward: -5.4663 Cleared lines: 0, col: 0/0/0/0 
Epoch: 173 / 1000, Score: -500,  block: 34,  Reward: -9.8983 Cleared lines: 0, col: 0/0/0/0 
Epoch: 174 / 1000, Score: -500,  block: 33,  Reward: -7.9425 Cleared lines: 0, col: 0/0/0/0 
Epoch: 175 / 1000, Score: -500,  block: 29,  Reward: -8.4210 Cleared lines: 0, col: 0/0/0/0 
Epoch: 176 / 1000, Score: -400,  block: 36,  Reward: -9.7432 Cleared lines: 1, col: 0/0/0/0 
